ref:ine;name;@type;@id;@lat;@lon
47128000101;Quintanilla del Molar;node;34095151;41.9890105;-5.4493242
47149000101;San Pelayo;node;34095153;41.6808404;-5.0340090
47029000101;Cabreros del Monte;node;34095158;41.8493512;-5.2708928
47148000101;San Pedro de Latarce;node;34095159;41.7360290;-5.3263880
47104000101;Calabazas;node;34095162;41.3371388;-4.7670979
47147000201;San Pablo de la Moraleja;node;34095165;41.1606619;-4.7772993
47027000101;Cabezón de Pisuerga;node;34095168;41.7339524;-4.6458137
47146000101;San Miguel del Pino;node;34095170;41.5091453;-4.9112037
47028000101;Cabezón de Valderaduey;node;34095177;42.1678462;-5.1580301
47032000101;Camporredondo;node;34095183;41.4737400;-4.5052700
47156000101;San Vicente del Palacio;node;34095186;41.2191791;-4.8514466
47033000101;Canalejas de Peñafiel;node;34095188;41.5259435;-4.1160956
47151000101;San Salvador;node;34095191;41.6201693;-5.0868382
47030000101;Campaspero;node;34095192;41.4923400;-4.1936200
47150000101;San Román de Hornija;node;34095206;41.4806517;-5.2852187
47031000101;El Campillo;node;34095208;41.2578168;-5.0146988
47133000103;Urbanización Puerta de Casasola;node;34095210;41.6417086;-4.6516540
47142000101;San Cebrián de Mazote;node;34095212;41.6811342;-5.1480570
47036000101;Casasola de Arión;node;34095214;41.5778586;-5.2413147
47179000201;San Bernardo;node;34095216;41.6299757;-4.2630780
47034000101;Canillas de Esgueva;node;34095218;41.7548204;-4.1251057
47035000101;Carpio;node;34095222;41.2126514;-5.1090600
47140000101;Saelices de Mayorga;node;34095224;42.2112500;-5.2063900
47039000101;Castrillo-Tejeriego;node;34095227;41.7030938;-4.3714958
47145000101;San Miguel del Arroyo;node;34095231;41.4432554;-4.4602885
47040000101;Castrobol;node;34095233;42.1373037;-5.3137491
47144000101;San Martín de Valvení;node;34095234;41.7528325;-4.5666194
47038000101;Castrillo de Duero;node;34095237;41.5750378;-4.0144512
47037000101;Castrejón de Trabancos;node;34095242;41.2528961;-5.1709387
47143000101;San Llorente;node;34095245;41.6862157;-4.0649041
